date,mean_sentiment
2022-06-04,-0.505721433877945
2022-06-14,-0.665216753423214
2022-06-15,-0.7078701454997063
2022-06-17,-0.7398109151721001
2022-06-18,-0.7275996353030205
2022-06-19,-0.7165879284143448
2022-06-23,-0.6201253470182418
2022-06-24,-0.7212241253256798
2022-06-25,-0.6396077127456665
2022-06-26,-0.607334057867527
2022-06-28,-0.6837553389072418
2022-06-29,-0.6831525828242302
2022-07-02,-0.6613008317947388
2022-07-03,-0.6821358957886696
2022-07-11,-0.7713774375915528
2022-07-12,-0.7825913128256797
2022-07-13,-0.7312309541702271
2022-07-14,-0.6696040407419205
2022-07-15,-0.6295768082737923
2022-07-16,-0.6778081990480423
2022-07-17,-0.7108652672171593
2022-08-30,-0.7240318845510483
2022-08-31,-0.721003250181675
